ID,Calories_Burned
TEST_0000,172.5325051378208
TEST_0001,194.23281946193185
TEST_0002,52.21164896168659
TEST_0003,161.7309679729033
TEST_0004,223.01718795549175
TEST_0005,180.5796439296164
TEST_0006,93.21384886047404
TEST_0007,44.159366486441904
TEST_0008,82.56383233212826
TEST_0009,58.19618027945279
TEST_0010,129.36074348422403
TEST_0011,53.93565073219635
TEST_0012,13.849235967272122
TEST_0013,164.81167289302192
TEST_0014,225.8580437552765
TEST_0015,15.86357810660354
TEST_0016,99.77382562619002
TEST_0017,131.14363229404626
TEST_0018,159.92103463847764
TEST_0019,3.5945992461219674
TEST_0020,51.725505592656155
TEST_0021,88.44079145760946
TEST_0022,29.28765796742326
TEST_0023,92.81332642612902
TEST_0024,17.6949429001272
TEST_0025,137.81155166506963
TEST_0026,105.37966060737858
TEST_0027,193.0529098489442
TEST_0028,126.36901083898587
TEST_0029,100.75814361083575
TEST_0030,26.621167826497356
TEST_0031,243.1659129866115
TEST_0032,52.924731850545456
TEST_0033,46.51792286661488
TEST_0034,126.43283433543229
TEST_0035,114.6841381836211
TEST_0036,39.5965634280343
TEST_0037,131.37859685610806
TEST_0038,10.65110664550911
TEST_0039,131.60433026021838
TEST_0040,192.2537938169968
TEST_0041,171.64013998390348
TEST_0042,142.81054598145488
TEST_0043,58.84400433552963
TEST_0044,66.41840174887986
TEST_0045,50.98832357701152
TEST_0046,76.42636565482894
TEST_0047,199.90644428985385
TEST_0048,142.7400498936428
TEST_0049,125.42890358807995
TEST_0050,13.186800995424104
TEST_0051,108.75351737025238
TEST_0052,157.24053833720734
TEST_0053,95.48502553129481
TEST_0054,63.82098773850937
TEST_0055,92.59819380170204
TEST_0056,167.34437583086182
TEST_0057,18.571995225519128
TEST_0058,31.39068346985228
TEST_0059,99.66279205964419
TEST_0060,37.5407987381777
TEST_0061,110.9532357440079
TEST_0062,88.3686016499849
TEST_0063,49.490404696002905
TEST_0064,33.519819471782434
TEST_0065,133.42423759186414
TEST_0066,226.5751692365525
TEST_0067,124.1355702699546
TEST_0068,105.34997433045987
TEST_0069,42.48317458442944
TEST_0070,127.82573683781754
TEST_0071,24.92864244591909
TEST_0072,6.861951263993838
TEST_0073,157.50719512616456
