Id,SalePrice
1461,107100.0
1462,177400.0
1463,205000.0
1464,231800.0
1465,191400.0
1466,193300.0
1467,182900.0
1468,190800.0
1469,188700.0
1470,141600.0
1471,194100.0
1472,104700.0
1473,106500.0
1474,145600.0
1475,107800.0
1476,341000.0
1477,260900.0
1478,297800.0
1479,298200.0
1480,379000.0
1481,301200.0
1482,235900.0
1483,202300.0
1484,203800.0
1485,229700.0
1486,229700.0
1487,308100.0
1488,215600.0
1489,217400.0
1490,244200.0
1491,224100.0
1492,82500.0
1493,206400.0
1494,265600.0
1495,256700.0
1496,243900.0
1497,185000.0
1498,202600.0
1499,193600.0
1500,200800.0
1501,213000.0
1502,197400.0
1503,267600.0
1504,245400.0
1505,214600.0
1506,191000.0
1507,231400.0
1508,192100.0
1509,160300.0
1510,163200.0
1511,155900.0
1512,167700.0
1513,127400.0
1514,155300.0
1515,163700.0
1516,151300.0
1517,179000.0
1518,114200.0
1519,218100.0
1520,150300.0
1521,150800.0
1522,179600.0
1523,106200.0
1524,102200.0
1525,113000.0
1526,111400.0
1527,111900.0
1528,126500.0
1529,152600.0
1530,196600.0
1531,158900.0
1532,107700.0
1533,146500.0
1534,115000.0
1535,138500.0
1536,104500.0
1537,63000.0
1538,147100.0
1539,161500.0
1540,95500.0
1541,137900.0
1542,119100.0
1543,161800.0
1544,82100.0
1545,103200.0
1546,127500.0
1547,140100.0
1548,112100.0
1549,122200.0
1550,115100.0
1551,101500.0
1552,126900.0
1553,164700.0
1554,121400.0
1555,160700.0
1556,108100.0
1557,100000.0
1558,125800.0
1559,116200.0
1560,118600.0
1561,122400.0
1562,154300.0
1563,138900.0
1564,175100.0
1565,160400.0
1566,235300.0
1567,90700.0
1568,272300.0
1569,144200.0
1570,161500.0
1571,119200.0
1572,148900.0
1573,256300.0
1574,127800.0
1575,244300.0
1576,259000.0
1577,208100.0
1578,146900.0
1579,158700.0
1580,197100.0
1581,179200.0
1582,127200.0
1583,257900.0
1584,227900.0
1585,187400.0
1586,80500.0
1587,106700.0
1588,164500.0
1589,102500.0
1590,132000.0
1591,127800.0
1592,126600.0
1593,126000.0
1594,122400.0
1595,132900.0
1596,217300.0
1597,177400.0
1598,222800.0
1599,193800.0
1600,172700.0
1601,65200.0
1602,119100.0
1603,86000.0
1604,303300.0
1605,231900.0
1606,152300.0
1607,145000.0
1608,263200.0
1609,207200.0
1610,190300.0
1611,149100.0
1612,195500.0
1613,167700.0
1614,153500.0
1615,118000.0
1616,102200.0
1617,105600.0
